Name - English,Name - Ukrainian,Country,Lat,Long
Lo Wu Control Point,羅湖管制站,China,22.532222,114.113333
Lok Ma Chau Spur Line Control Point,落馬洲支線管制站,China,22.5144,114.0657
Lok Ma Chau Control Point,落馬洲管制站,China,22.52074,114.07496
Sha Tau Kok Control Point,沙頭角管制站,China,22.549653,114.223289
Man Kam To Control Point,文錦渡管制站,China,22.537,114.129
Shenzhen Bay Port,深圳灣口岸,China,22.5039,113.9447
Hong Kong–Zhuhai–Macau Bridge,港珠澳大橋,China,22.283056,113.780556
Heung Yuen Wai Control Point,香園圍管制站,China,22.554286,114.152422
Hong Kong West Kowloon Railway Station,香港西九龍站,China,22.396428,114.109497
Hung Hom Station,紅磡站,China,22.303067,114.181527
Hong Kong China Ferry Terminal,中港碼頭,China,22.29931,114.16725
Hong Kong–Macau Ferry Terminal,港澳客輪碼頭,China,22.2869555188,114.151291062
Tuen Mun Ferry Pier,屯門碼頭,China,22.370498518,113.959829494
Kai Tak Cruise Terminal,啟德郵輪碼頭,China,22.3062,114.2134
